"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"323",10,2,1,0,1,0
"324",8,6,1,0,0,1
"325",7,1,0,0,1,0
"326",5,1,1,0,1,1
"327",8,2,0,1,1,0
"328",7,4,0,0,1,1
"329",0,1,1,0,1,1
"330",8,2,1,0,1,1
"331",9,2,1,1,1,1
"332",10,2,1,0,1,1
"333",10,2,1,0,1,1
"334",10,3,1,0,0,1
"335",8,2,1,0,1,1
"336",8,2,1,0,1,1
"337",8,4,1,0,0,1
"338",8,1,1,0,1,1
"339",8,5,1,0,1,1
"340",10,2,1,0,1,1
"341",8,2,0,0,1,0
"342",8,4,1,0,0,1
"343",9,4,1,1,0,1
"344",7,3,1,0,0,0
"345",10,3,1,0,0,1
"346",7,4,0,1,0,1
"347",10,3,1,0,1,1
"348",10,1,1,0,1,0
"349",8,4,1,0,1,1
"350",6,1,1,0,1,1
"351",10,4,1,0,1,1
"352",3,4,1,0,0,1
"353",8,2,1,1,1,1
"354",9,2,1,0,1,1
"355",10,2,1,0,1,1
"356",7,1,0,0,1,0
"357",8,5,1,0,0,0
"358",9,5,1,0,0,1
"359",7,1,1,0,1,0
"360",7,1,1,0,1,1
"361",7,1,0,0,1,0
"362",8,1,1,0,1,0
"363",8,4,0,0,1,0
"364",6,1,1,0,1,0
"365",8,2,1,0,1,1
"366",7,4,1,0,0,1
"367",8,1,1,0,1,0
"368",10,2,0,1,1,0
"369",10,5,1,1,0,1
"370",10,2,1,0,1,1
"371",7,1,1,0,1,0
"372",9,2,1,0,1,1
"373",7,1,0,0,1,0
"374",6,2,1,0,1,1
"375",8,4,0,0,0,1
"376",6,4,1,0,1,1
"377",10,1,1,0,1,0
"378",10,4,1,0,1,1
"379",7,3,1,0,0,0
"380",8,3,0,0,0,0
"381",8,4,0,1,1,0
"382",8,1,0,0,1,0
"383",9,4,1,0,0,1
"384",8,3,1,0,1,1
"385",10,3,0,1,1,0
"386",10,4,1,0,0,1
"387",7,1,0,0,1,0
"388",7,5,1,0,0,0
"389",9,1,1,0,1,0
"390",9,3,0,0,0,0
"391",9,2,1,0,1,0
"392",8,1,0,0,1,0
"393",9,2,1,0,1,0
"394",9,1,0,0,1,0
"395",10,2,0,0,1,0
"396",8,4,1,0,0,1
"397",8,1,1,0,1,0
"398",4,1,1,0,1,1
"399",10,2,1,0,1,1
"400",9,2,1,1,1,1
"401",10,1,0,0,1,0
"402",7,1,1,0,1,0
"403",9,1,1,0,1,0
"404",8,1,0,0,1,0
"405",7,2,1,1,1,1
"406",8,2,1,0,1,1
"407",7,3,1,0,1,0
"408",5,1,1,0,1,1
"409",10,3,1,0,1,1
"410",8,2,1,0,1,1
"411",5,2,1,0,1,1
"412",8,3,0,1,0,0
"413",9,5,1,0,1,1
"414",8,3,0,0,1,1
"415",8,2,0,1,1,1
"416",5,5,0,0,0,1
"417",10,4,1,0,0,1
"418",8,2,1,0,1,1
"419",9,3,1,0,1,1
"420",9,3,1,0,0,0
"421",10,4,1,0,0,1
"422",7,1,0,0,1,0
"423",9,3,1,1,0,1
"424",7,2,1,0,1,1
"425",10,2,1,0,1,1
"426",7,2,0,0,1,0
"427",7,1,1,0,1,1
"428",8,1,1,0,1,1
"429",8,2,1,0,1,1
"430",5,1,0,0,1,0
"431",7,4,0,0,1,0
"432",10,2,1,1,1,1
"433",8,3,1,0,1,1
"434",8,4,1,0,0,1
"435",8,1,0,0,1,0
"436",8,2,1,0,1,1
"437",10,3,1,1,0,1
"438",8,1,1,0,1,0
"439",8,2,1,0,1,1
"440",5,1,1,0,1,1
"441",10,2,1,0,1,1
"442",8,1,0,0,1,1
"443",8,1,1,0,1,0
"444",8,1,1,0,1,1
"445",8,3,1,0,1,1
"446",10,1,1,0,1,0
"447",10,2,1,0,1,1
"448",10,4,1,0,1,1
"449",10,1,1,0,1,1
"450",5,2,1,0,1,1
"451",5,1,1,0,1,1
"452",8,5,1,0,0,1
"453",8,2,1,0,1,0
